Name,Boro,CB,On street:,Cross-street 1:,Cross-street 2:,Area (sf),Area (acres),Project Type
Fulton St/East New York Ave,BK,5,Fulton St/Herkimer St,East New York Ave,Fulton St,1000,0.023,Planted median/ pedestrian refuge
East New York Ave/Atlantic Ave,BK,5,East New York Ave,Atlantic Ave,Junius Ave,1950,0.045,Curb extension
Neptune Ave/West 19th St,BK,13,Neptune Ave,West 19th St,West 20th St,400,0.009,Planted median/ pedestrian refuge
"Hell's Kitchen, 36th & 9th Canoe",M,4,9 Av/Dyer Av,W 36 St,Ramp C,10168,0.233,Pedestrian Plaza w/ plantings
"Hell's Kitchen, 41st & 9th",M,4,9 Av,W 41 St,--,700,0.016,2 painted curb extensions
181st St Congested Corridors,M,12,Haven Av,W 181 St,--,429,0.01,Concrete curb extension
Woodhaven Blvd Congested Corridors,Q,4,Woodhaven Blvd,Exit to WB LIE,Queens Blvd south service road,1250,0.029,Curb extension w/ truffle paint
Woodhaven Blvd Congested Corridors,Q,4,Woodhaven Blvd,Queens Blvd south service road,--,620,0.014,Expanded median w/ truffle paint
Woodhaven Blvd Congested Corridors,Q,4,Woodhaven Blvd,Queens Blvd south service road,Hoffman Dr,459,0.011,Curb extension w/ truffle paint
Woodhaven Blvd Congested Corridors,Q,6,Woodhaven Blvd,Wetherole St,--,1843,0.042,Expanded median w/ truffle paint
Woodhaven Blvd Congested Corridors,Q,6,Woodhaven Blvd,Wetherole St,--,901,0.021,Curb extension w/ truffle paint
Woodhaven Blvd Congested Corridors,Q,6,Woodhaven Blvd,60 Dr,--,320,0.007,Curb extension w/ truffle paint
Woodhaven Blvd Congested Corridors,Q,6,Woodhaven Blvd,Eliot Av,--,2448,0.056,2 curb extensions w/ truffle paint
Church Ave Congested Corridors,BK,12,Church Ave,Beverley Rd,--,2270,0.052,Concrete plaza and sidewalk extensions
Church Ave Congested Corridors,BK,14,Coney Island Ave,Albemarle Rd,--,270,0.006,Concrete median/ pedestrian refuge
Church Ave Congested Corridors,BK,14,Church Ave,Ocean Ave,--,320,0.007,Planted median/ pedestrian refuge
White Plans Rd Congested Corridors,BX,11,White Plains Rd,Unionport Rd,--,200,0.005,Concrete curb extension
White Plans Rd Congested Corridors,BX,11,Unionport Rd,Van Nest Ave,Meade St,21315,0.489,Street closed to traffic; park expanded
White Plans Rd Congested Corridors,BX,11,White Plains Road,Sagamore St,Cruger Ave,3660,0.084,Raised pedestrian island w/plantings
White Plans Rd Congested Corridors,BX,11,White Plains Road,Sagamore St,Birchall Ave,870,0.02,Raised concrete pedestrian island
White Plans Rd Congested Corridors,BX,11,Birchall Ave,Sagamore St,--,1472,0.034,Concrete curb extension
White Plans Rd Congested Corridors,BX,11,Boston Rd,Thwaits Pl,--,360,0.008,Planted median/ pedestrian refuge
Downtown Flushing Mobility & Safety Project,Q,7,Main Street,Roosevelt Avenue,39th Street,1260,0.029,Curb and sidewalk Extension
Downtown Flushing Mobility & Safety Project,Q,7,Northern Blvd,Union Street,--,120,0.003,Curb Extension
